教材,年级,模块,单元,单词,音标,词义,例句,词性
外研版,一年级上,module1,unit1,hello,,你好,,
外研版,一年级上,module1,unit1,aah,,啊,,
外研版,一年级上,module1,unit1,ooh,,哦,,
外研版,一年级上,module1,unit1,i,,我,,
外研版,一年级上,module1,unit1,am,,是,I'm = I am 我是,
外研版,一年级上,module1,unit1,goodbye,,再见,bye 再见,
外研版,一年级上,module1,unit1,How are you,,你好么？你好！,,
外研版,一年级上,module1,unit1,woof,,（狗发出的）犬声,,
外研版,一年级上,module1,unit1,no,,不，不是,,
外研版,一年级上,module1,unit1,yes,,是，是的,,
外研版,一年级上,module1,unit1,sorry,,对不起,,
外研版,一年级上,module1,unit1,fine,,（身体）很好,,
外研版,一年级上,module1,unit1,thank,,谢谢,,
外研版,一年级上,module1,unit1,you,,你；你们,,
外研版,一年级上,module2,unit1,what,,什么,,
外研版,一年级上,module2,unit1,is,,是，是什么,,
外研版,一年级上,module2,unit1,your,,你的，你们的,,
外研版,一年级上,module2,unit1,name,,名字,,
外研版,一年级上,module2,unit1,please,,请,,
外研版,一年级上,module2,unit1,ha ha,,哈哈,,
外研版,一年级上,module2,unit1,goodbye,,再见！,,
外研版,一年级上,module2,unit1,morning,,早晨，上午,,
外研版,一年级上,module2,unit1,Ms,,女士,,
外研版,一年级上,module2,unit1,my,,我的,,
外研版,一年级上,module2,unit1,bird,,鸟,,
外研版,一年级上,module2,unit1,tweet,,啾啾的叫声,,
外研版,一年级上,module2,unit1,a(n),,一个，一,,
外研版,一年级上,module2,unit1,boy,,男孩,,
外研版,一年级上,module2,unit1,girl,,女孩,,
外研版,一年级上,module2,unit1,whoops,,哎呦,,
外研版,一年级上,module2,unit1,afternoon,,下午,,
外研版,一年级上,module2,unit1,panda,,熊猫,,
外研版,一年级上,module3,unit1,sit,,坐,,
外研版,一年级上,module3,unit1,down,,向下,,
外研版,一年级上,module3,unit1,stand,,站,,
外研版,一年级上,module3,unit1,up,,向上,,
外研版,一年级上,module3,unit1,open,,打开,,
外研版,一年级上,module3,unit1,the,,这（那）个，这（那）些,,
外研版,一年级上,module3,unit1,window,,窗户,,
外研版,一年级上,module3,unit1,door,,门,,
外研版,一年级上,module3,unit1,See you,,再见！,,
外研版,一年级上,module3,unit1,point,,指,,
外研版,一年级上,module3,unit1,to,,向。。。,,
外研版,一年级上,module3,unit1,aargh,,啊,,
外研版,一年级上,module3,unit1,desk,,书桌,,
外研版,一年级上,module3,unit1,chair,,椅子,,
外研版,一年级上,module4,unit1,it,,它,,
外研版,一年级上,module4,unit1,it's,,它是,,
外研版,一年级上,module4,unit1,red,,红色，红色的,,
外研版,一年级上,module4,unit1,aha,,啊哈,,
外研版,一年级上,module4,unit1,blue,,蓝色，蓝色的,,
外研版,一年级上,module4,unit1,wow,,呀，喔,,
外研版,一年级上,module4,unit1,yellow,,黄色，黄色的,,
外研版,一年级上,module4,unit1,oh,,噢，哦,,
外研版,一年级上,module4,unit1,colour,,颜色,,
外研版,一年级上,module4,unit1,green,,绿色，绿色的,,
外研版,一年级上,module4,unit1,now,,现在,,
外研版,一年级上,module4,unit1,black,,黑色，黑色的,,
外研版,一年级上,module4,unit1,white,,白色，白色的,,
外研版,一年级上,module4,unit1,dog,,狗,,
外研版,一年级上,module4,unit1,cat,,猫,,
外研版,一年级上,module4,unit1,and,,和,,
外研版,一年级上,module4,unit1,hey,,嘿，喂,,
外研版,一年级上,module4,unit1,look,,看,,
外研版,一年级上,module4,unit1,orange,,橙色，橙色的,,
外研版,一年级上,module5,unit1,this,,这个,,
外研版,一年级上,module5,unit1,our,,我们的,,
外研版,一年级上,module5,unit1,teacher,,教师,,
外研版,一年级上,module5,unit1,school,,学校,,
外研版,一年级上,module5,unit1,classroom,,教室,,
外研版,一年级上,module5,unit1,Nice to meet you,,见到你真高兴。,,
外研版,一年级上,module5,unit1,child,,小孩,,
外研版,一年级上,module5,unit1,that,,那个,,
